dataset,entity,G_Repl,S_Repl,G_Comp,S_Comp,n_nodes,n_features,n_error_nodes,n_embed_nodes,n_logit_nodes,n_features_pinned,n_features_total,pinned_fraction
book_characters_authors_batch,emma_bovary,0.6868676148445866,0.6853688574490591,0.8946825491286962,0.8939470548051413,472,381,71,10,10,380,381,0.9973753280839895
book_characters_authors_batch,frodo_baggins,0.7524521770311301,0.7303775466574045,0.9242140460055646,0.9149611935451588,530,417,92,11,10,411,417,0.9856115107913669
book_characters_authors_batch,gregor_samsa,0.6366712293963142,0.6068531600950885,0.8716785786023291,0.8543247511805648,541,418,103,10,10,411,418,0.9832535885167464
book_characters_authors_batch,hermione_granger,0.6903653093762803,0.6903653093762803,0.8956308604396359,0.8956308604396359,409,299,91,9,10,299,299,1.0
book_characters_authors_batch,holden_caulfield,0.6971991617160788,0.6724399402801757,0.9010047410444563,0.8889671161542069,521,401,100,10,10,395,401,0.9850374064837906
book_characters_authors_batch,huckleberry_finn,0.7803352440133703,0.7686089231765216,0.928021623135956,0.9230224518521576,465,367,78,10,10,365,367,0.9945504087193461
book_characters_authors_batch,jay_gatsby,0.7450227893360548,0.7153361398695315,0.9174078500247379,0.9039650906978987,355,274,62,9,10,271,274,0.9890510948905109
book_characters_authors_batch,jean_valjean,0.6897786128625689,0.6833498580537227,0.8927314182475228,0.8894784145504404,475,369,86,10,10,364,369,0.986449864498645
book_characters_authors_batch,katniss_everdeen,0.6982842924813024,0.6891668527539989,0.899509065143297,0.8951027304059112,453,342,90,11,10,337,342,0.9853801169590644
book_characters_authors_batch,oliver_twist,0.7138849895138685,0.7120009242364205,0.907128385991102,0.9062694560562926,392,308,65,9,10,306,308,0.9935064935064936
book_characters_authors_batch,raskolnikov,0.7073314730451407,0.6939622057625463,0.89893170300774,0.892278807331654,458,350,88,10,10,347,350,0.9914285714285714
book_characters_authors_batch,scout_finch,0.7211167438923127,0.6962533356147698,0.9069889093549579,0.8950790764269676,456,354,83,9,10,349,354,0.9858757062146892
book_characters_authors_batch,winston_smith,0.6872005206530885,0.6816263303124604,0.8960051860734477,0.8932863620619399,391,299,73,9,10,297,299,0.9933110367892977
products_founders_batch,alibaba,0.6654649937276099,0.6654649937276099,0.8768488317220174,0.8768488317220174,338,238,81,9,10,238,238,1.0
products_founders_batch,dell_xps,0.670969984658617,0.6702844731896994,0.8844929273246102,0.8841338990717448,428,312,95,11,10,311,312,0.9967948717948718
products_founders_batch,dyson,0.6800854972729055,0.6800854972729055,0.885248147132272,0.885248147132272,424,325,78,11,10,325,325,1.0
products_founders_batch,ebay_platform,0.6585815288554956,0.6579299779955459,0.879977832318939,0.8796297009962748,394,287,86,11,10,286,287,0.9965156794425087
products_founders_batch,facebook,0.7230199894123862,0.7154106215668872,0.905540693546498,0.9019133430633925,326,233,74,9,10,231,233,0.9914163090128756
products_founders_batch,ford_cars,0.754979374097875,0.7522480570982544,0.921193892209267,0.9200260927590113,357,267,70,10,10,265,267,0.9925093632958801
products_founders_batch,iphone,0.715071003957826,0.7140404557842296,0.906141390955228,0.9056659649369009,367,269,78,10,10,268,269,0.9962825278810409
products_founders_batch,model_s,0.6848070391709891,0.6691653108240051,0.8941677271262739,0.8863191138042648,414,308,85,11,10,306,308,0.9935064935064936
products_founders_batch,nike_shoes,0.7020309995651527,0.7020309995651527,0.8971525086985316,0.8971525086985316,375,277,78,10,10,277,277,1.0
products_founders_batch,oculus,0.7105512231253502,0.7092063922321405,0.8984477279579292,0.8977824349465178,431,318,92,11,10,316,318,0.9937106918238994
products_founders_batch,oracle_db,0.7111605553468581,0.7111605553468581,0.9032916168214379,0.9032916168214379,409,299,90,10,10,299,299,1.0
products_founders_batch,twitter,0.6959439936929732,0.6902223416602031,0.8924171975987636,0.8894841325444548,343,244,80,9,10,242,244,0.9918032786885246
products_founders_batch,windows,0.724531103846619,0.7199584737428554,0.9098589651025227,0.9077806633938253,351,261,71,9,10,259,261,0.9923371647509579
products_founders_batch,wordpress,0.6864323877341262,0.6762508037318692,0.8918550467124942,0.8866624736879446,348,252,77,9,10,249,252,0.9880952380952381
paintings_painters_batch,american_gothic,0.5584484064375789,0.5535762910616634,0.8372473217617786,0.8340032775071157,445,342,82,11,10,335,342,0.97953216374269
paintings_painters_batch,birth_of_venus,0.6582003295641716,0.6386635450404534,0.8796759589295745,0.868907297349765,549,432,94,13,10,420,432,0.9722222222222222
paintings_painters_batch,blue_boy,0.6163252762716405,0.60305771456647,0.8711979413940109,0.8638122381494251,490,380,88,12,10,370,380,0.9736842105263158
paintings_painters_batch,campbells_soup,0.608625767588478,0.5933076106520702,0.8628522080758979,0.8538048206849027,623,479,120,14,10,466,479,0.9728601252609603
paintings_painters_batch,girl_pearl_earring,0.639907339232003,0.6313300071867715,0.8766096899356836,0.8719542301815645,640,504,111,15,10,492,504,0.9761904761904762
paintings_painters_batch,grande_jatte,0.6611266987729134,0.6537192836142915,0.8870852857663952,0.88330966317414,677,540,111,16,10,534,540,0.9888888888888889
paintings_painters_batch,guernica,0.7113308212250611,0.6554374183331309,0.9053927655233017,0.8774446036073286,621,509,90,12,10,484,509,0.9508840864440079
paintings_painters_batch,nighthawks,0.6413360887211509,0.6353415702657557,0.8740029961706828,0.8706884843883376,546,428,95,13,10,420,428,0.9813084112149533
paintings_painters_batch,persistence_of_memory,0.5920555455514191,0.5794638298091278,0.8599500635799291,0.8524900355247672,599,464,112,13,10,455,464,0.9806034482758621
paintings_painters_batch,starry_night,0.6629294559816507,0.6500079023091377,0.8845467403464793,0.8777377691584459,540,431,86,13,10,422,431,0.9791183294663574
paintings_painters_batch,the_scream,0.6582777478099685,0.6442345929156928,0.8809112451261617,0.8733146647099665,459,361,77,11,10,349,361,0.9667590027700831
paintings_painters_batch,water_lilies,0.6757196560452542,0.6537535927569194,0.8918327842330978,0.8806251701556943,551,428,101,12,10,418,428,0.9766355140186916
sounds_colors_batch,bark,0.7425111644389807,0.7209849406705521,0.9096513817334256,0.8991751579036631,588,439,123,16,10,429,439,0.9772209567198178
sounds_colors_batch,buzz,0.7500674599233399,0.729372320349643,0.9109940698539851,0.9008895606914242,600,436,138,16,10,424,436,0.9724770642201835
sounds_colors_batch,hiss,0.7359938965828623,0.717969219059089,0.9060678396449888,0.8971355659530145,673,501,145,17,10,490,501,0.9780439121756487
sounds_colors_batch,meow,0.7200661757190403,0.6998045813241985,0.9015292286387017,0.8913445155614607,558,415,117,16,10,408,415,0.983132530120482
sounds_colors_batch,oink,0.705965714951316,0.6759136261273191,0.8965587977191998,0.8809172743217119,658,499,132,17,10,479,499,0.9599198396793587
sounds_colors_batch,whinny,0.7295695630657355,0.7124399463857888,0.9053330875806669,0.8969163841407727,681,514,139,18,10,500,514,0.9727626459143969
