from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
raskolnikov,edmond_dantes,add_author,0,1,12.812500,12,52,12,52,0.013423,0.074005,0.374571,0.410286
raskolnikov,elizabeth_bennet,add_book_author,0,1,19.171900,38,51,38,51,0.062480,0.089048,0.374571,0.401960
raskolnikov,emma_bovary,add_author,0,1,10.500000,12,51,12,51,0.013423,0.066259,0.374571,0.412386
raskolnikov,frodo_baggins,add_book,0,1,27.484400,26,34,26,34,0.049057,0.080611,0.374571,0.413307
raskolnikov,gregor_samsa,add_book_author,0,0,17.468700,38,60,38,60,0.062480,0.076076,0.374571,0.395718
raskolnikov,huckleberry_finn,add_character_book_author,0,0,23.500000,117,305,117,305,0.113252,0.303928,0.374571,0.385867
raskolnikov,jay_gatsby,add_character,0,1,18.890600,79,76,79,76,0.050772,0.110476,0.374571,0.413165
raskolnikov,jean_valjean,add_book,0,0,12.000000,26,26,26,26,0.049057,0.047902,0.374571,0.385766
raskolnikov,katniss_everdeen,add_book_author,0,1,25.781200,38,63,38,63,0.062480,0.104807,0.374571,0.397431
raskolnikov,raskolnikov,add_book,0,1,0.000000,26,0,26,0,0.049057,0.000000,0.374571,0.374571
raskolnikov,winston_smith,add_book,0,1,18.593800,26,19,26,19,0.049057,0.066463,0.374571,0.402036
winston_smith,atticus_finch,add_book_author,0,1,29.062500,52,68,52,68,0.108922,0.108991,0.402036,0.402358
winston_smith,captain_ahab,add_book,0,1,23.469700,19,29,19,29,0.066463,0.066373,0.402036,0.399964
winston_smith,dracula,add_character_book,0,0,11.382800,89,142,89,142,0.135105,0.193008,0.402036,0.392970
winston_smith,ebenezer_scrooge,add_book,0,0,16.437500,19,26,19,26,0.066463,0.069912,0.402036,0.414550
winston_smith,edmond_dantes,add_character_book_author,0,0,13.062500,122,177,122,177,0.177564,0.173020,0.402036,0.410286
winston_smith,elizabeth_bennet,add_book,0,1,18.437500,19,20,19,20,0.066463,0.043584,0.402036,0.401960
winston_smith,emma_bovary,add_author,0,1,5.187500,33,51,33,51,0.042459,0.066259,0.402036,0.412386
winston_smith,frodo_baggins,add_book,0,1,16.687500,19,34,19,34,0.066463,0.080611,0.402036,0.413307
winston_smith,gregor_samsa,add_book,0,0,12.312500,19,20,19,20,0.066463,0.027791,0.402036,0.395718
winston_smith,huckleberry_finn,add_character_book_author,0,0,18.703100,122,305,122,305,0.177564,0.303928,0.402036,0.385867
winston_smith,jay_gatsby,add_author,0,1,22.625000,33,46,33,46,0.042459,0.072423,0.402036,0.413165
winston_smith,jean_valjean,add_book,0,1,12.250000,19,26,19,26,0.066463,0.047902,0.402036,0.385766
winston_smith,katniss_everdeen,add_book_author,0,1,25.937500,52,63,52,63,0.108922,0.104807,0.402036,0.397431
winston_smith,raskolnikov,add_book,0,0,24.105500,19,26,19,26,0.066463,0.049057,0.402036,0.374571
winston_smith,winston_smith,add_character,0,1,0.000000,70,0,70,0,0.068642,0.000000,0.402036,0.402036
