from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
nighthawks,persistence_of_memory,0,0.8125,247,1,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_persistence_of_memory__r1.json
nighthawks,starry_night,0,3.9375,25,1,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_starry_night__r1.json
nighthawks,the_scream,0,6.25,22,1,0,1,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_the_scream__r0.json
nighthawks,water_lilies,0,-1.0,67,3,1,1,,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/nighthawks/to_water_lilies__r1.json
persistence_of_memory,birth_of_venus,0,2.625,668,1,0,1,A,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_birth_of_venus__r0.json
persistence_of_memory,campbells_soup,0,-2.75,421,3,0,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_campbells_soup__r1.json
persistence_of_memory,girl_pearl_earring,0,-0.5625,1214,2,0,1,A,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_girl_pearl_earring__r0.json
persistence_of_memory,grande_jatte,0,-0.375,50,2,1,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_grande_jatte__r2.json
persistence_of_memory,guernica,0,0.5625,9,1,1,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_guernica__r2.json
persistence_of_memory,nighthawks,0,1.625,83,1,0,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_nighthawks__r2.json
persistence_of_memory,starry_night,0,3.75,69,1,1,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_starry_night__r1.json
persistence_of_memory,the_scream,0,1.625,114,1,1,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_the_scream__r1.json
persistence_of_memory,water_lilies,0,-1.625,227,2,0,1,A,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/persistence_of_memory/to_water_lilies__r1.json
starry_night,birth_of_venus,0,2.125,931,1,1,1,A,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_birth_of_venus__r1.json
starry_night,campbells_soup,0,-0.125,1898,2,0,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_campbells_soup__r1.json
starry_night,girl_pearl_earring,0,4.875,12,1,0,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_girl_pearl_earring__r2.json
starry_night,grande_jatte,0,2.0625,24,1,0,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_grande_jatte__r0.json
