domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
books,edmond_dantes,frodo_baggins,0,2,11,0.015065,0.080611,0.0186643600463866,0.0837748646736137,2,11,0,,0,0,,,1,6.1875,0.0,0.6563,1.599,add_book,0,1,17.7812,15,34,0.015065,0.080611
books,edmond_dantes,gregor_samsa,0,15,13,0.08907,0.076076,0.08945497870445172,0.07789859175681992,15,13,0,,0,0,,,1,7.4062,0.0,-2.3125,-0.1042,add_book_author,0,0,22.5313,67,60,0.08907,0.076076
books,edmond_dantes,huckleberry_finn,0,59,234,0.17302,0.303928,0.17304772138595292,0.3040604293346292,59,234,0,,0,0,,,0,7.1875,5.2187,1.25,1.6042,add_character_book_author,0,0,23.9062,177,305,0.17302,0.303928
books,edmond_dantes,jay_gatsby,0,48,35,0.157955,0.182899,0.15924626588821172,0.18355441093444644,48,35,0,,0,0,,,1,20.0547,0.0,7.9375,8.9375,add_character_author,0,1,30.375,162,122,0.157955,0.182899
books,edmond_dantes,jean_valjean,0,2,6,0.015065,0.047902,0.0186643600463866,0.048280835151671996,2,6,0,,0,0,,,1,4.0469,0.10939999999999994,2.25,3.2083,add_book,0,1,7.625,15,26,0.015065,0.047902
books,edmond_dantes,katniss_everdeen,0,15,16,0.08907,0.104807,0.08945497870445172,0.10726243257522512,15,16,0,,0,0,,,0,12.3438,0.0,6.8125,7.3958,add_book_author,0,1,28.6875,67,63,0.08907,0.104807
books,edmond_dantes,raskolnikov,0,18,17,0.099016,0.099829,0.10007899999618432,0.1003576815128318,18,17,0,,0,0,,,1,3.6875,0.0,-2.125,-0.7083,add_character_book,0,0,14.6562,125,105,0.099016,0.099829
books,edmond_dantes,winston_smith,0,15,14,0.08907,0.108922,0.08945497870445172,0.108959257602691,15,14,0,,0,0,,,1,15.4688,0.0,7.25,7.875,add_book_author,0,1,24.8828,67,52,0.08907,0.108922
books,elizabeth_bennet,atticus_finch,0,12,19,0.089048,0.108991,0.09336459636688169,0.11148107051849247,12,19,0,,0,0,,,1,7.25,0.0,-1.0,0.4167,add_book_author,0,1,26.4062,51,68,0.089048,0.108991
books,elizabeth_bennet,captain_ahab,0,5,10,0.043584,0.066373,0.048579156398772895,0.06663975119590729,5,10,0,,0,0,,,1,-1.4375,0.0,-3.375,-2.875,add_book,0,1,21.1094,20,29,0.043584,0.066373
books,elizabeth_bennet,dracula,0,5,8,0.045464,0.059728,0.048579156398772895,0.0640558898448939,5,8,0,,0,0,,,1,7.75,0.0,3.0,3.3958,add_author,0,0,12.9688,31,38,0.045464,0.059728
books,elizabeth_bennet,ebenezer_scrooge,0,50,57,0.19159,0.21293,0.1926702558994265,0.21325302124023215,50,57,0,,0,0,,,1,11.2344,0.0,2.0,3.4792,add_character_book_author,0,0,20.0469,124,136,0.19159,0.21293
books,elizabeth_bennet,edmond_dantes,0,50,59,0.19159,0.17302,0.1926702558994265,0.17304772138595292,50,59,0,,0,0,,,1,12.0,0.0,-3.0625,-0.1875,add_character_book_author,0,0,23.0,124,177,0.19159,0.17302
books,elizabeth_bennet,elizabeth_bennet,1,5,0,0.045464,0.0,0.048579156398772895,0.0,5,0,1,,1,0,,,0,0.0,0.0,5.375,6.5417,add_author,0,0,0.0,31,0,0.045464,0.0
books,elizabeth_bennet,emma_bovary,0,5,12,0.045464,0.066259,0.048579156398772895,0.0681196451187128,5,12,0,,0,0,,,1,2.4375,0.0,-1.875,-0.9167,add_author,0,1,15.125,31,51,0.045464,0.066259
books,elizabeth_bennet,frodo_baggins,0,5,11,0.043584,0.080611,0.048579156398772895,0.0837748646736137,5,11,0,,0,0,,,1,4.6875,0.0,0.625,1.2292,add_book,0,0,15.9375,20,34,0.043584,0.080611
books,elizabeth_bennet,gregor_samsa,0,5,4,0.043584,0.027791,0.048579156398772895,0.032445430755615005,5,4,0,,0,0,,,1,2.9375,0.0,-1.75,-0.5833,add_book,1,1,25.875,0,40,0.043584,0.027791
books,elizabeth_bennet,huckleberry_finn,0,5,7,0.045464,0.052487,0.048579156398772895,0.0582785308361051,5,7,0,,0,0,,,1,0.875,0.0,0.125,0.7917,add_author,0,0,18.1875,31,45,0.045464,0.052487
books,elizabeth_bennet,jay_gatsby,0,5,8,0.045464,0.072423,0.048579156398772895,0.08030250668525649,5,8,0,1,1,1,6.931448,5,1,12.375,0.0,3.75,5.1667,add_author,0,1,24.375,31,46,0.045464,0.072423
books,elizabeth_bennet,jean_valjean,0,12,13,0.089048,0.083439,0.09336459636688169,0.08397570252418449,12,13,0,,0,0,,,1,6.5,0.0,-1.1875,-0.2083,add_book_author,0,1,18.0312,51,65,0.089048,0.083439
books,elizabeth_bennet,katniss_everdeen,0,12,16,0.089048,0.104807,0.09336459636688169,0.10726243257522512,12,16,0,,0,0,,,0,12.9062,0.0,4.5,5.1042,add_book_author,0,1,23.3281,51,63,0.089048,0.104807
books,elizabeth_bennet,raskolnikov,0,26,17,0.146126,0.099829,0.14629140496253829,0.1003576815128318,26,17,0,,0,0,,,1,6.7813,0.0,-5.0,-3.4792,add_character_book,1,1,19.5938,0,198,0.146126,0.099829
books,elizabeth_bennet,winston_smith,0,12,14,0.089048,0.108922,0.09336459636688169,0.108959257602691,12,14,0,,0,0,,,0,12.0625,0.0,4.875,6.1042,add_book_author,0,0,23.6484,51,52,0.089048,0.108922
books,emma_bovary,atticus_finch,0,114,19,0.216948,0.108991,0.217740774154658,0.11148107051849247,114,19,0,,0,0,,,1,6.375,0.0,3.1875,4.2083,add_book_author,0,1,27.5312,223,68,0.216948,0.108991
books,emma_bovary,captain_ahab,0,50,10,0.15069,0.066373,0.1510797142982461,0.06663975119590729,50,10,0,,0,0,,,1,9.2812,0.0,-5.5,-4.9167,add_book,0,1,24.6328,172,29,0.15069,0.066373
books,emma_bovary,dracula,0,120,39,0.221999,0.163783,0.2227752804756111,0.1642215251922587,120,39,0,,0,0,,,0,14.1875,0.0,4.4375,5.3958,add_character_author,0,0,25.6875,231,114,0.221999,0.163783
books,emma_bovary,ebenezer_scrooge,0,50,9,0.15069,0.069912,0.1510797142982461,0.07604464888572669,50,9,0,,0,0,,,1,14.4375,0.0,3.625,4.0833,add_book,0,1,23.2812,172,26,0.15069,0.069912
books,emma_bovary,edmond_dantes,0,120,48,0.221999,0.157955,0.2227752804756111,0.15924626588821172,120,48,0,,0,0,,,1,2.0625,2.0625,0.625,1.0625,add_character_author,0,0,5.625,231,162,0.221999,0.157955
books,emma_bovary,elizabeth_bennet,0,114,12,0.216948,0.089048,0.217740774154658,0.09336459636688169,114,12,0,,0,0,,,1,18.5938,0.0,2.8125,4.4167,add_book_author,0,1,20.3047,223,51,0.216948,0.089048
